name,link,description,price,image,features,main_category,sub_category
박준뷰티랩 프로틴 LPP 샴푸 1000ml,https://prod.danawa.com/info/?pcode=11207442&cate=18313515,,15800,//img.danawa.com/prod_img/500000/442/207/img/11207442_1.jpg?shrink=130:130&_v=20200429160720,"['샴푸', '설페이트프리', '실리콘프리', '파라벤프리', '대용량']",샴푸,일반샴푸
로마 너리싱 샴푸 1L,https://prod.danawa.com/info/?pcode=8027695&cate=18313515,손상모를 위한 천연 유기농 샴푸,41630,//img.danawa.com/prod_img/500000/695/027/img/8027695_1.jpg?shrink=130:130&_v=20230727161640,"['샴푸', '설페이트프리', '파라벤프리', '대용량', '캡형']",샴푸,일반샴푸
로레알파리 드림랭스 샴푸 410ml,https://prod.danawa.com/info/?pcode=21629768&cate=18313515,,9470,//img.danawa.com/prod_img/500000/768/629/img/21629768_1.jpg?shrink=130:130&_v=20230719122836,"['샴푸', '펌프형']",샴푸,일반샴푸
아로마티카 티트리 퓨리파잉 샴푸 1000ml,https://prod.danawa.com/info/?pcode=13885307&cate=18313515,티트리 성분이 과잉 피지를 컨트롤하여 하루 종일 산뜻한 두피,29740,//img.danawa.com/prod_img/500000/307/885/img/13885307_1.jpg?shrink=130:130&_v=20230718134134,"['샴푸', '지성두피', '두피쿨링', '유분케어', '설페이트프리', '실리콘프리', '대용량', '펌프형']",샴푸,일반샴푸
TS 비디 샴푸 500g,https://prod.danawa.com/info/?pcode=7701766&cate=18313515,,10320,//img.danawa.com/prod_img/500000/766/701/img/7701766_1.jpg?shrink=130:130&_v=20230201104930,"['샴푸', '약산성(pH4.5~6.5)', '비듬케어', '설페이트프리', '실리콘프리', '펌프형']",샴푸,일반샴푸
더바디샵 진저 스캘프 케어 샴푸 400ml,https://prod.danawa.com/info/?pcode=15286457&cate=18313515,,251740,//img.danawa.com/prod_img/500000/457/286/img/15286457_1.jpg?shrink=130:130&_v=20230404143147,"['샴푸', '비건인증: 비건소사이어티', '캡형']",샴푸,일반샴푸
클로란 피오니 샴푸 400ml,https://prod.danawa.com/info/?pcode=16972502&cate=18313515,,12070,//img.danawa.com/prod_img/500000/502/972/img/16972502_1.jpg?shrink=130:130&_v=20220503135414,"['샴푸', '민감성두피']",샴푸,일반샴푸
닥터포헤어 피토프레시 샴푸 500ml,https://prod.danawa.com/info/?pcode=16498565&cate=18313515,,14480,//img.danawa.com/prod_img/500000/565/498/img/16498565_1.jpg?shrink=130:130&_v=20220715111732,"['샴푸', '지성두피', '약산성(pH4.5~6.5)', '유분케어', '펌프형']",샴푸,일반샴푸
부케가르니 히말라야 허브 나드 토탈케어 샴푸 시그니처향 1000ml,https://prod.danawa.com/info/?pcode=34400564&cate=18313515,,15650,//img.danawa.com/prod_img/500000/564/400/img/34400564_1.jpg?shrink=130:130&_v=20240203064311,"['샴푸', '영양공급', '모발윤기']",샴푸,일반샴푸
몰튼브라운 퓨리파잉 샴푸 위드 인디안 크레스 300ml,https://prod.danawa.com/info/?pcode=20699612&cate=18313515,,42340,//img.danawa.com/prod_img/500000/612/699/img/20699612_1.jpg?shrink=130:130&_v=20230627144758,"['샴푸', '펌프형']",샴푸,일반샴푸
도브 NEW 인텐스 리페어 샴푸 680ml,https://prod.danawa.com/info/?pcode=20239736&cate=18313515,,4420,//img.danawa.com/prod_img/500000/736/239/img/20239736_1.jpg?shrink=130:130&_v=20231215102108,"['샴푸', '손상모발', '펌프형']",샴푸,일반샴푸
로레알파리 샴푸 헤어스파 딥너리싱 리페어링 크림바스 스파샴푸 비듬 지성 대용량 비듬샴푸 나리싱 트리트먼트,https://prod.danawa.com/info/?pcode=30386645&cate=18313515,,23700,//img.danawa.com/prod_img/500000/645/386/img/30386645_1.jpg?shrink=130:130&_v=20231207104502,['샴푸'],샴푸,일반샴푸
댄트롤 쿨링 멘톨 탄산수 샴푸 820ml,https://prod.danawa.com/info/?pcode=8793584&cate=18313515,비듬 완화 및 답답한 두피를 시원하고 상쾌하게!,4970,//img.danawa.com/prod_img/500000/584/793/img/8793584_1.jpg?shrink=130:130&_v=20230718132534,"['샴푸', '약산성(pH4.5~6.5)', '두피쿨링', '실리콘프리', '펌프형']",샴푸,일반샴푸
케라스타즈 스페시픽 방 프리벤션 샴푸 1000ml,https://prod.danawa.com/info/?pcode=1626371&cate=18313515,,65650,//img.danawa.com/prod_img/500000/371/626/img/1626371_1.jpg?shrink=130:130&_v=20210121160256,"['샴푸', '실리콘프리', '대용량', '주성분: 프로액티브시스템']",샴푸,일반샴푸
려 흑운 모근강화 앤 볼륨케어 샴푸 550ml,https://prod.danawa.com/info/?pcode=14586269&cate=18313515,실험으로 입증된 24시간 볼륨감 케어,8870,//img.danawa.com/prod_img/500000/269/586/img/14586269_1.jpg?shrink=130:130&_v=20230718123609,"['샴푸', '약산성(pH4.5~6.5)', '펌프형']",샴푸,일반샴푸
케라시스 두피 쿨링 샴푸 980ml,https://prod.danawa.com/info/?pcode=17280548&cate=18313515,페퍼민트 추출물로 두피를 시원하고 상쾌하게!,5980,//img.danawa.com/prod_img/500000/548/280/img/17280548_1.jpg?shrink=130:130&_v=20230713134134,"['샴푸', '지성두피', '약산성(pH4.5~6.5)', '비듬케어', '두피쿨링', '펌프형']",샴푸,일반샴푸
라우쉬 씨위드 디그리징 샴푸 200ml,https://prod.danawa.com/info/?pcode=3920006&cate=18313515,두피 데오도란트 효과로 상쾌한 향을 유지시켜주는 지성 두피용 샴푸!,12650,//img.danawa.com/prod_img/500000/006/920/img/3920006_1.jpg?shrink=130:130&_v=20230727141315,"['샴푸', '지성두피', '유분케어', '실리콘프리', '파라벤프리', '캡형']",샴푸,일반샴푸
하나로 플러스 비듬 두피케어 샴푸 680ml,https://prod.danawa.com/info/?pcode=1608976&cate=18313515,,3190,//placehold.co/130,"['샴푸', '비듬케어', '펌프형']",샴푸,일반샴푸
조말론 라임 바질 앤 만다린 샴푸 250ml,https://prod.danawa.com/info/?pcode=3310811&cate=18313515,실크 추출 유연제가 자연스러운 윤기를,49590,//placehold.co/130,['샴푸'],샴푸,일반샴푸
헤드앤숄더 가려운 두피 케어 샴푸 1.8L,https://prod.danawa.com/info/?pcode=19685969&cate=18313515,,14790,//placehold.co/130,"['샴푸', '비듬케어', '대용량']",샴푸,일반샴푸
존슨즈베이비 액티브 키즈 소프트 앤 스무드 샴푸 500ml,https://prod.danawa.com/info/?pcode=7697569&cate=18313515,,12510,//placehold.co/130,"['샴푸', '유아동용']",샴푸,일반샴푸
헤드앤숄더 쿨 멘솔 샴푸 1200ml,https://prod.danawa.com/info/?pcode=13809074&cate=18313515,비듬을 완화하고 두피를 시원하게!,13240,//img.danawa.com/prod_img/500000/074/809/img/13809074_1.jpg?shrink=130:130&_v=20230718134723,"['샴푸', '비듬케어', '두피쿨링', '대용량', '펌프형']",샴푸,일반샴푸
라우쉬 콜츠푸트 안티 댄드러프 샴푸 200ml,https://prod.danawa.com/info/?pcode=5401525&cate=18313515,,15480,//img.danawa.com/prod_img/500000/525/401/img/5401525_1.jpg?shrink=130:130&_v=20230314160635,"['샴푸', '비듬케어', '실리콘프리', '파라벤프리', '캡형']",샴푸,일반샴푸
엘라스틴 데미지 윤기케어 10X 샴푸 680ml,https://prod.danawa.com/info/?pcode=16221578&cate=18313515,,6070,//img.danawa.com/prod_img/500000/578/221/img/16221578_1.jpg?shrink=130:130&_v=20230310131906,"['샴푸', '약산성(pH4.5~6.5)']",샴푸,일반샴푸
케라시스 엘레강스 센슈얼 퍼퓸 샴푸 980ml,https://prod.danawa.com/info/?pcode=11648114&cate=18313515,세계 명품 향수의 향기를 담은 퍼퓸라인 샴푸,7300,//img.danawa.com/prod_img/500000/114/648/img/11648114_1.jpg?shrink=130:130&_v=20250224151933,"['샴푸', '펌프형']",샴푸,일반샴푸
포멀비 마이키즈 3in1 올인원 클렌저 1000ml,https://prod.danawa.com/info/?pcode=40884389&cate=18313515,,16900,//img.danawa.com/prod_img/500000/389/884/img/40884389_1.jpg?shrink=130:130&_v=20240313091524,"['샴푸', '유아동용', '펌프형', '\n프로폴리스']",샴푸,일반샴푸
엘라스틴 히말라야 그린허브 샴푸 700ml,https://prod.danawa.com/info/?pcode=75472160&cate=18313515,,3830,//img.danawa.com/prod_img/500000/160/472/img/75472160_1.jpg?shrink=130:130&_v=20250228114451,"['샴푸', '실리콘프리', '파라벤프리', '비건인증: 이브비건', '펌프형']",샴푸,일반샴푸
박준뷰티랩 뷰티랩 LPP 단백질 무실리콘 약산성 샴푸 + 트리트먼트 6종세트,https://prod.danawa.com/info/?pcode=30372407&cate=18313515,,116100,//img.danawa.com/prod_img/500000/407/372/img/30372407_1.jpg?shrink=130:130&_v=20231207102629,"['샴푸', '트리트먼트', '헤어팩', '샴푸 1000ml x 3개', '트리트먼트 1000ml x 3개']",샴푸,일반샴푸
미쟝센 살롱 10 샴푸 극손상 990ml,https://prod.danawa.com/info/?pcode=19011629&cate=18313515,,17390,//img.danawa.com/prod_img/500000/629/011/img/19011629_1.jpg?shrink=130:130&_v=20230912154018,"['샴푸', '약산성(pH4.5~6.5)', '펌프형']",샴푸,일반샴푸
팬틴 극손상 케어 샴푸 1200ml,https://prod.danawa.com/info/?pcode=18645587&cate=18313515,,8310,//img.danawa.com/prod_img/500000/587/645/img/18645587_1.jpg?shrink=130:130&_v=20230306164103,"['샴푸', '대용량', '펌프형']",샴푸,일반샴푸
알페신 카페인 샴푸 하이브리드 375ml,https://prod.danawa.com/info/?pcode=61724591&cate=18313515,,14100,//img.danawa.com/prod_img/500000/591/724/img/61724591_1.jpg?shrink=130:130&_v=20250313113816,"['샴푸', '건성두피', '민감성두피', '실리콘프리', '수분공급', '두피진정']",샴푸,일반샴푸
아베다 인바티 어드밴스드 엑스폴리에이팅 라이트 샴푸 1000ml,https://prod.danawa.com/info/?pcode=12489134&cate=18313515,,125090,//img.danawa.com/prod_img/500000/134/489/img/12489134_1.jpg?shrink=130:130&_v=20201019210219,"['샴푸', '대용량', '캡형']",샴푸,일반샴푸
